season,team,playoffs,age,Strength of Schedule,o_rtg,d_rtg,pace,f_tr,3pt Attempt Rate,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,attend_g
2023,Portland Trail Blazers,FALSE,25.1,0.05,114.8,118.8,98.6,0.289,0.413,0.589,0.549,13.1,22.4,0.23,0.563,12.1,74.9,0.217,18716
2023,Sacramento Kings,TRUE,25.4,-0.35,119.4,116.8,100.3,0.284,0.423,0.608,0.572,12,22.7,0.225,0.563,12.6,77.2,0.203,17451
2023,San Antonio Spurs,FALSE,23.9,0.22,110.2,120,101.6,0.229,0.348,0.554,0.525,13,25.6,0.17,0.576,12,74.9,0.201,15508
2023,Toronto Raptors,FALSE,25.8,0.12,115.5,114,97.1,0.257,0.351,0.555,0.517,10.3,27.8,0.201,0.565,15.3,76.7,0.223,19787
2023,Utah Jazz,FALSE,26.5,-0.09,115.8,116.7,100.5,0.265,0.421,0.584,0.547,13.3,26.8,0.209,0.541,10.9,75.2,0.205,17762
2023,Washington Wizards,FALSE,26.2,0.15,114.4,115.6,98.6,0.258,0.365,0.585,0.55,12.7,22.6,0.202,0.54,11,76.1,0.194,17329
2022,Atlanta Hawks,TRUE,26.1,-0.01,116.5,114.9,97.7,0.253,0.39,0.581,0.543,10.8,23,0.205,0.543,11.5,76.9,0.177,16408
2022,Boston Celtics,TRUE,26.1,-0.26,114.4,106.9,96.6,0.239,0.425,0.578,0.542,12.4,24,0.195,0.502,12.5,77.3,0.183,19156
2022,Brooklyn Nets,TRUE,29.1,0.04,113.6,112.8,99,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,17355
2022,Chicago Bulls,TRUE,26.3,0.02,113.2,113.6,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,20882
2022,Charlotte Hornets,FALSE,25.5,0.09,114.1,113.7,100,0.234,0.418,0.572,0.544,11.6,23.3,0.173,0.544,13.1,74.8,0.187,17092
2022,Cleveland Cavaliers,FALSE,24.7,-0.08,111.9,109.7,96.1,0.261,0.387,0.571,0.538,13.2,24,0.198,0.52,12.3,76.5,0.172,18493
2022,Dallas Mavericks,TRUE,26.7,-0.18,112.8,109.4,95.4,0.249,0.439,0.572,0.538,11.7,21.3,0.192,0.521,12.2,78,0.185,19708
2022,Denver Nuggets,TRUE,27.7,-0.15,114.5,112.1,97.8,0.244,0.416,0.59,0.556,13.2,21.9,0.194,0.537,11.7,78.3,0.188,16958
